RIGHT_CUT_VIEW_V1,120,271
0,8.0,0.0,9.0
1,8.0,0.0,9.0
2,8.0,0.0,9.0
3,8.0,0.0,9.0
4,8.0,0.0,9.0
5,8.0,0.0,9.0
6,8.0,0.0,9.0
7,8.0,0.0,9.0
8,8.0,0.0,9.0
9,8.0,0.0,9.0
10,8.0,0.0,9.0
11,8.0,0.0,9.0
12,8.0,0.0,9.0
13,8.0,0.0,9.0
14,8.0,0.0,9.0
15,8.0,0.0,9.0
16,8.0,0.0,9.0
17,8.0,0.0,9.0
18,8.0,0.0,9.0
19,8.0,0.0,9.0
20,8.0,0.0,9.0
21,8.0,0.0,9.0
22,8.0,0.0,9.0
23,8.0,0.0,9.0
24,8.0,0.0,9.0
25,8.0,0.0,9.0
26,8.0,0.0,9.0
27,8.0,0.0,9.0
28,8.0,0.0,9.0
29,8.0,0.0,9.0
30,8.0,0.0,9.0
31,8.021620991253645,-0.007206997084548105,8.990390670553936
32,8.084804664723032,-0.02826822157434402,8.962309037900875
33,8.187032069970845,-0.062344023323615175,8.916874635568513
34,8.325784256559766,-0.10859475218658891,8.855206997084547
35,8.498542274052479,-0.1661807580174927,8.778425655976676
36,8.702787172011663,-0.23426239067055393,8.687650145772595
37,8.936,-0.31200000000000006,8.584
38,9.195661807580175,-0.3985539358600583,8.46859475218659
39,9.479253644314868,-0.49308454810495617,8.342553935860058
40,9.784256559766764,-0.5947521865889213,8.206997084548105
41,10.108151603498541,-0.7027172011661807,8.063043731778425
42,10.448419825072886,-0.816139941690962,7.911813411078717
43,10.802542274052477,-0.9341807580174928,7.754425655976676
44,11.168000000000001,-1.0560000000000003,7.592
45,11.542274052478135,-1.1807580174927113,7.425655976676385
46,11.922845481049563,-1.3076151603498543,7.256513119533528
47,12.307195335276967,-1.4357317784256558,7.085690962099125
48,12.692804664723031,-1.564268221574344,6.914309037900875
49,13.077154518950437,-1.6923848396501455,6.743486880466472
50,13.457725947521865,-1.8192419825072883,6.574344023323615
51,13.832,-1.944,6.4079999999999995
52,14.19745772594752,-2.065819241982507,6.245574344023324
53,14.551580174927114,-2.1838600583090377,6.088186588921283
54,14.891848396501459,-2.2972827988338196,5.936956268221574
55,15.215743440233236,-2.4052478134110786,5.793002915451895
56,15.520746355685132,-2.506915451895044,5.6574460641399416
57,15.804338192419825,-2.6014460641399415,5.531405247813411
58,16.064,-2.6880000000000006,5.4159999999999995
59,16.29721282798834,-2.765737609329446,5.312349854227405
60,16.501457725947525,-2.8338192419825075,5.221574344023324
61,16.674215743440236,-2.8914052478134113,5.144793002915452
62,16.812967930029153,-2.9376559766763846,5.083125364431487
